source_document,year,code,description,amount_type,amount_kwacha
LUANSHYA-BUDGET-2025.pdf,2025,001,Residential,APPROVED BUDGET 2025,10177176.0
LUANSHYA-BUDGET-2025.pdf,2025,001,Residential,REVISED BUDGET 2026,5499066.0
LUANSHYA-BUDGET-2025.pdf,2025,001,Residential,BUDGET ESTIMATE 2027,5499066.0
LUANSHYA-BUDGET-2025.pdf,2025,002,Commercial,APPROVED BUDGET 2025,1600050.0
LUANSHYA-BUDGET-2025.pdf,2025,002,Commercial,REVISED BUDGET 2026,1600050.0
LUANSHYA-BUDGET-2025.pdf,2025,002,Commercial,BUDGET ESTIMATE 2027,1600050.0
LUANSHYA-BUDGET-2025.pdf,2025,003,Industrial,APPROVED BUDGET 2025,6395036.0
LUANSHYA-BUDGET-2025.pdf,2025,003,Industrial,REVISED BUDGET 2026,6395036.0
LUANSHYA-BUDGET-2025.pdf,2025,003,Industrial,BUDGET ESTIMATE 2027,6395036.0
LUANSHYA-BUDGET-2025.pdf,2025,005,Mining/Plant,APPROVED BUDGET 2025,50200000.0
LUANSHYA-BUDGET-2025.pdf,2025,005,Mining/Plant,REVISED BUDGET 2026,50200000.0
LUANSHYA-BUDGET-2025.pdf,2025,005,Mining/Plant,BUDGET ESTIMATE 2027,50200000.0
LUANSHYA-BUDGET-2025.pdf,2025,,SubItem Total,REVISED BUDGET 2026,63694152.0
LUANSHYA-BUDGET-2025.pdf,2025,,SubItem Total,BUDGET ESTIMATE 2027,63694152.0
LUANSHYA-BUDGET-2025.pdf,2025,001,Personal levy,APPROVED BUDGET 2025,111780.0
LUANSHYA-BUDGET-2025.pdf,2025,001,Personal levy,REVISED BUDGET 2026,111780.0
LUANSHYA-BUDGET-2025.pdf,2025,001,Personal levy,BUDGET ESTIMATE 2027,111780.0
LUANSHYA-BUDGET-2025.pdf,2025,,SubItem Total,REVISED BUDGET 2026,111780.0
LUANSHYA-BUDGET-2025.pdf,2025,,SubItem Total,BUDGET ESTIMATE 2027,111780.0
LUANSHYA-BUDGET-2025.pdf,2025,001,Consent fees,APPROVED BUDGET 2025,224400.0
LUANSHYA-BUDGET-2025.pdf,2025,001,Consent fees,REVISED BUDGET 2026,224400.0
LUANSHYA-BUDGET-2025.pdf,2025,001,Consent fees,BUDGET ESTIMATE 2027,224400.0
LUANSHYA-BUDGET-2025.pdf,2025,002,Survey fees,APPROVED BUDGET 2025,50000.0
LUANSHYA-BUDGET-2025.pdf,2025,002,Survey fees,REVISED BUDGET 2026,50000.0
LUANSHYA-BUDGET-2025.pdf,2025,002,Survey fees,BUDGET ESTIMATE 2027,50000.0
LUANSHYA-BUDGET-2025.pdf,2025,003,Building inspection-fees,APPROVED BUDGET 2025,443760.0
LUANSHYA-BUDGET-2025.pdf,2025,003,Building inspection-fees,REVISED BUDGET 2026,443760.0
LUANSHYA-BUDGET-2025.pdf,2025,003,Building inspection-fees,BUDGET ESTIMATE 2027,443760.0
LUANSHYA-BUDGET-2025.pdf,2025,004,Plan scrutiny fee,APPROVED BUDGET 2025,337558.0
LUANSHYA-BUDGET-2025.pdf,2025,004,Plan scrutiny fee,REVISED BUDGET 2026,337558.0
LUANSHYA-BUDGET-2025.pdf,2025,004,Plan scrutiny fee,BUDGET ESTIMATE 2027,337558.0
LUANSHYA-BUDGET-2025.pdf,2025,005,Change of premise use,APPROVED BUDGET 2025,10000.0
LUANSHYA-BUDGET-2025.pdf,2025,005,Change of premise use,REVISED BUDGET 2026,10000.0
LUANSHYA-BUDGET-2025.pdf,2025,005,Change of premise use,BUDGET ESTIMATE 2027,10000.0
LUANSHYA-BUDGET-2025.pdf,2025,006,Container/Ntemba fees,APPROVED BUDGET 2025,150000.0
LUANSHYA-BUDGET-2025.pdf,2025,006,Container/Ntemba fees,REVISED BUDGET 2026,150000.0
LUANSHYA-BUDGET-2025.pdf,2025,006,Container/Ntemba fees,BUDGET ESTIMATE 2027,150000.0
LUANSHYA-BUDGET-2025.pdf,2025,007,Rentals/lease of Council’s properties,APPROVED BUDGET 2025,1191000.0
LUANSHYA-BUDGET-2025.pdf,2025,007,Rentals/lease of Council’s properties,REVISED BUDGET 2026,1191000.0
LUANSHYA-BUDGET-2025.pdf,2025,007,Rentals/lease of Council’s properties,BUDGET ESTIMATE 2027,1191000.0
LUANSHYA-BUDGET-2025.pdf,2025,008,Non-Land Application forms fees,APPROVED BUDGET 2025,433525.0
LUANSHYA-BUDGET-2025.pdf,2025,008,Non-Land Application forms fees,REVISED BUDGET 2026,433525.0
LUANSHYA-BUDGET-2025.pdf,2025,008,Non-Land Application forms fees,BUDGET ESTIMATE 2027,433525.0
LUANSHYA-BUDGET-2025.pdf,2025,009,Rentals from houses,APPROVED BUDGET 2025,78990.0
LUANSHYA-BUDGET-2025.pdf,2025,009,Rentals from houses,REVISED BUDGET 2026,78990.0
LUANSHYA-BUDGET-2025.pdf,2025,009,Rentals from houses,BUDGET ESTIMATE 2027,78990.0
LUANSHYA-BUDGET-2025.pdf,2025,010,Sketch plan,APPROVED BUDGET 2025,19200.0
LUANSHYA-BUDGET-2025.pdf,2025,010,Sketch plan,REVISED BUDGET 2026,19200.0
LUANSHYA-BUDGET-2025.pdf,2025,010,Sketch plan,BUDGET ESTIMATE 2027,19200.0
LUANSHYA-BUDGET-2025.pdf,2025,011,Search fees,APPROVED BUDGET 2025,1000.0
LUANSHYA-BUDGET-2025.pdf,2025,011,Search fees,REVISED BUDGET 2026,1000.0
LUANSHYA-BUDGET-2025.pdf,2025,011,Search fees,BUDGET ESTIMATE 2027,1000.0
LUANSHYA-BUDGET-2025.pdf,2025,012,Notice board advert fees,APPROVED BUDGET 2025,480.0
LUANSHYA-BUDGET-2025.pdf,2025,012,Notice board advert fees,REVISED BUDGET 2026,480.0
LUANSHYA-BUDGET-2025.pdf,2025,012,Notice board advert fees,BUDGET ESTIMATE 2027,480.0
LUANSHYA-BUDGET-2025.pdf,2025,013,Market fees,APPROVED BUDGET 2025,680340.0
LUANSHYA-BUDGET-2025.pdf,2025,013,Market fees,REVISED BUDGET 2026,680340.0
LUANSHYA-BUDGET-2025.pdf,2025,013,Market fees,BUDGET ESTIMATE 2027,680340.0
LUANSHYA-BUDGET-2025.pdf,2025,014,Parking fees,APPROVED BUDGET 2025,25000.0
LUANSHYA-BUDGET-2025.pdf,2025,014,Parking fees,REVISED BUDGET 2026,25000.0
LUANSHYA-BUDGET-2025.pdf,2025,014,Parking fees,BUDGET ESTIMATE 2027,25000.0
LUANSHYA-BUDGET-2025.pdf,2025,016,"Loading fees (buses, trucks, trains, taxies etc.)",APPROVED BUDGET 2025,942013.0
LUANSHYA-BUDGET-2025.pdf,2025,016,"Loading fees (buses, trucks, trains, taxies etc.)",REVISED BUDGET 2026,942013.0
LUANSHYA-BUDGET-2025.pdf,2025,016,"Loading fees (buses, trucks, trains, taxies etc.)",BUDGET ESTIMATE 2027,942013.0
LUANSHYA-BUDGET-2025.pdf,2025,017,Affidavit fees,APPROVED BUDGET 2025,500.0
LUANSHYA-BUDGET-2025.pdf,2025,017,Affidavit fees,REVISED BUDGET 2026,500.0
LUANSHYA-BUDGET-2025.pdf,2025,017,Affidavit fees,BUDGET ESTIMATE 2027,500.0
LUANSHYA-BUDGET-2025.pdf,2025,020,Hire of halls,APPROVED BUDGET 2025,52000.0
