document_title|year|ward|project_name|allocated_amount_zmw|status|source_url
LMC 2024 Community Projects|2024|N/A|PROVINCE|0|Approved|https://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/08/LMC-2024-Community-Projects.pdf
Luanshya-District-Community-Projects-2023.pdf|2023|N/A|No.|0|Approved|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/Luanshya-District-Community-Projects-2023.pdf
Luanshya-District-Community-Projects-2023.pdf|2023|N/A|1|0|Approved|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/Luanshya-District-Community-Projects-2023.pdf
Luanshya-District-Community-Projects-2023.pdf|2023|N/A|2|0|Approved|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/Luanshya-District-Community-Projects-2023.pdf
Luanshya-District-Community-Projects-2023.pdf|2023|N/A|3|0|Approved|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/Luanshya-District-Community-Projects-2023.pdf
Luanshya-District-Community-Projects-2023.pdf|2023|N/A|4|0|Approved|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/Luanshya-District-Community-Projects-2023.pdf
Luanshya-District-Community-Projects-2023.pdf|2023|N/A|5|0|Approved|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/Luanshya-District-Community-Projects-2023.pdf
Luanshya-District-Community-Projects-2023.pdf|2023|N/A|6|0|Approved|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/Luanshya-District-Community-Projects-2023.pdf
Luanshya-District-Community-Projects-2023.pdf|2023|N/A|7|0|Approved|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/Luanshya-District-Community-Projects-2023.pdf
Luanshya-District-Community-Projects-2023.pdf|2023|N/A|8|0|Approved|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/Luanshya-District-Community-Projects-2023.pdf
Luanshya-District-Community-Projects-2023.pdf|2023|N/A|9|0|Approved|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/Luanshya-District-Community-Projects-2023.pdf
Luanshya-District-Community-Projects-2023.pdf|2023|N/A|10|0|Approved|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/Luanshya-District-Community-Projects-2023.pdf
Luanshya-District-Community-Projects-2023.pdf|2023|N/A|11|0|Approved|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/Luanshya-District-Community-Projects-2023.pdf
LUANSHYA-DISTRICT-CONSOLIDATED-COMMUNITY-PROJECTS-UNDER-CDF-FROM-2022-TO-2025.pdf|2022|N/A|1 Construction and rehabilitation of water Mpelembe luanshya 2022 14 03 2023 10 11 2023 100%Completed and 97,000.00 97,000.00 0% reticulation at the new town market. commissioned|0|Approved|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/LUANSHYA-DISTRICT-CONSOLIDATED-COMMUNITY-PROJECTS-UNDER-CDF-FROM-2022-TO-2025.pdf
LUANSHYA-DISTRICT-CONSOLIDATED-COMMUNITY-PROJECTS-UNDER-CDF-FROM-2022-TO-2025.pdf|2022|N/A|2 Elohim Primary School Construction Of Baluba luanshya 2022 30 12 2022 17 06 2023 100%Completed and 861,000.00 663,547.83 0% 1x3 Classroom Block commissioned|0|Approved|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/LUANSHYA-DISTRICT-CONSOLIDATED-COMMUNITY-PROJECTS-UNDER-CDF-FROM-2022-TO-2025.pdf
LUANSHYA-DISTRICT-CONSOLIDATED-COMMUNITY-PROJECTS-UNDER-CDF-FROM-2022-TO-2025.pdf|2022|N/A|3 Construction of ablution block at Baluba luanshya 2022 24 03 2023 18 01 2024 100%Completed and 551,376.00 551,376.00 0% Elohim school commissioned|0|Approved|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/LUANSHYA-DISTRICT-CONSOLIDATED-COMMUNITY-PROJECTS-UNDER-CDF-FROM-2022-TO-2025.pdf
LUANSHYA-DISTRICT-CONSOLIDATED-COMMUNITY-PROJECTS-UNDER-CDF-FROM-2022-TO-2025.pdf|2022|N/A|4 Construction and Rehabilitation of Roads Kamuchanga- luanshya 2022 30 09 2023 11 03 2025 100%Completed and 4,186,451.26 4,186,451.26 0% - Mwaiseni -Kamuchanga phase 1 Mwaiseni commissioned|0|Approved|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/LUANSHYA-DISTRICT-CONSOLIDATED-COMMUNITY-PROJECTS-UNDER-CDF-FROM-2022-TO-2025.pdf
