local_path,url,doc_type,category,title,http_status,bytes,page_count,has_text_layer,table_detected,notes
data/raw/pdfs/ZPPA-MPI-2025-Q4.pdf,https://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/ZPPA-MPI-2025-Q4.pdf,pdf,misc,Market Price Index Q4 2025 (ZPPA),200,1817853,73.0,True,True,
data/raw/pdfs/LUANSHYA-BUDGET-2025.pdf,https://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/04/LUANSHYA-BUDGET-2025.pdf,pdf,budget_financial,2025 Output Based Annual Budget,200,853903,69.0,True,True,
data/raw/pdfs/SOP_Community_Sport_Final_Signed.pdf,https://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/03/SOP_Community_Sport_Final_Signed.pdf,pdf,misc,SOP Community Sport (Min. of Youth Sport and Arts),200,935986,33.0,True,False,
data/raw/pdfs/Financial-Statements-2023-1.pdf,https://www.luanshyacouncil.gov.zm/wp-content/uploads/2024/12/Financial-Statements-2023-1.pdf,pdf,budget_financial,Financial Statements 2023,200,1749538,39.0,True,False,
data/raw/pdfs/Auditors-Report-2023.pdf,https://www.luanshyacouncil.gov.zm/wp-content/uploads/2024/12/Auditors-Report-2023.pdf,pdf,budget_financial,Auditors Report 2023,200,360593,3.0,False,False,
data/raw/pdfs/2025-SKILLS-LUANSHYA-CONSTITUENCY.pdf,https://www.luanshyacouncil.gov.zm/wp-content/uploads/2024/12/2025-SKILLS-LUANSHYA-CONSTITUENCY.pdf,pdf,cdf_beneficiary_list,2025 Skills Development - Luanshya Constituency,200,141699,1.0,True,True,
data/raw/pdfs/2025-SECONDARY-BURSARIES-LUANSHYA-CONSTITUENCY.pdf,https://www.luanshyacouncil.gov.zm/wp-content/uploads/2024/12/2025-SECONDARY-BURSARIES-LUANSHYA-CONSTITUENCY.pdf,pdf,cdf_beneficiary_list,2025 Secondary Bursaries - Luanshya Constituency,200,50164,1.0,True,True,
data/raw/pdfs/LMC-Financial-Statement-2022.pdf,https://www.luanshyacouncil.gov.zm/wp-content/uploads/2024/09/LMC-Financial-Statement-2022.pdf,pdf,budget_financial,Financial Statement 2022,200,3084564,40.0,True,False,
data/raw/pdfs/The-Urban-and-Regional-Planning-Act-2015.pdf,https://www.luanshyacouncil.gov.zm/wp-content/uploads/2023/11/The-Urban-and-Regional-Planning-Act-2015.pdf,pdf,legal_regulatory,The-Urban-and-Regional-Planning-Act-2015.pdf,200,123463,58.0,True,False,
data/raw/pdfs/The-Local-Government-Act-No.-2-of-2019.pdf,https://www.luanshyacouncil.gov.zm/wp-content/uploads/2023/11/The-Local-Government-Act-No.-2-of-2019.pdf,pdf,legal_regulatory,The-Local-Government-Act-No.-2-of-2019.pdf,200,213519,56.0,True,False,
data/raw/pdfs/Liqour-Licensing-Act-2011.pdf,https://www.luanshyacouncil.gov.zm/wp-content/uploads/2023/11/Liqour-Licensing-Act-2011.pdf,pdf,legal_regulatory,Liqour-Licensing-Act-2011.pdf,200,75885,29.0,True,False,
data/raw/pdfs/LUANSHYA-DISTRICT-INTEGRATED-DEVELOPMENT-PLAN-2023-2033.pdf,https://www.luanshyacouncil.gov.zm/wp-content/uploads/2023/11/LUANSHYA-DISTRICT-INTEGRATED-DEVELOPMENT-PLAN-2023-2033.pdf,pdf,idp,Luanshya District Integrated Development Plan 2023-2033,200,6068450,170.0,True,True,
data/raw/pages/page_959.html,https://www.luanshyacouncil.gov.zm/?page_id=959,page,nav_page,Publications,200,127493,,,,
data/raw/pages/page_792.html,https://www.luanshyacouncil.gov.zm/?page_id=792,page,nav_page,Services,200,101215,,,,
data/raw/pages/page_3525.html,https://www.luanshyacouncil.gov.zm/?page_id=3525,page,nav_page,CDF,200,124105,,,,
