page|row_data
115|['Activity', 'Input', 'Quantity', 'Unit cost-', 'Total cost-', 'Source', 'Source of']
115|['', '', '', 'ZMK', 'ZMK', 'of funds', 'information']
115|['Construction of camp houses', '❖ Construction Materials ❖ Labour ❖ Transport', '5', '500,000', '2,500,000', 'GRZ', 'Ministry of Fisheries and Livestock']
115|['Construction of office block', '❖ Construction Materials ❖ Labour ❖ Transport', '1', '2, 500,000', '2,500,000', 'GRZ', 'Ministry of Fisheries and Livestock']
115|['Hand pump boreholes', '❖ Construction Materials ❖ Labour ❖ Transport', '10', '80,000', '800,000', 'GRZ', 'Ministry of Fisheries and Livestock']
115|['Procurement of motor vehicle', '❖ Tendering', '1', '1, 500, 000', '1,500,000', 'GRZ', 'Ministry of Fisheries and Livestock']
115|['Procurement of motor bikes', '❖ Tendering', '5', '130,000', '650,000', 'GRZ', 'Ministry of Fisheries and Livestock']
115|['Total', '', '', '', '7,950,000', '', '']
115|['Activity', 'Input', 'Quantity', 'Unit', 'Total cost-', 'Source', 'Source of']
115|['', '', '', 'cost-', 'ZMK', 'of funds', 'information']
115|['', '', '', 'ZMK', '', '', '']
115|['Construction of camp houses', '❖ Construction Materials ❖ Labour ❖ Transport', '5', '500,000', '2,500,000', 'GRZ', 'Ministry of Agriculture']
115|['Construction of office block', '❖ Construction Materials ❖ Labour ❖ Transport', '1', '2, 500,000', '2,500,000', 'GRZ', 'Ministry of Agriculture']
