source_page|pdf_url|local_path|category|status
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/11/LMC-2024-Financial-Statement.pdf|raw\pdfs\aea091ad767e512e95f2b38ad12fb764.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=1536|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2024/12/Financial-Statements-2023-1.pdf|raw\pdfs\cffc1a731ab9023b2c4a8c4b496ca66b.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=792|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2024/12/Financial-Statements-2023-1.pdf|raw\pdfs\cffc1a731ab9023b2c4a8c4b496ca66b.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|https://www.luanshyacouncil.gov.zm/wp-content/uploads/2023/11/Liqour-Licensing-Act-2011.pdf|raw\pdfs\30d6054c24b3d8062b34f2e3b0fa832f.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2026/05/accredit-1.pdf|raw\pdfs\a1361b7ce5b98f2784e4569556850fce.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2026/09/2026-Bi-Annual-Statement.pdf|raw\pdfs\fa4cb4238ef1311e4f2ddcac81260df7.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/Annual-Detailed-Budget-2021.pdf|raw\pdfs\f54926d67d289aa93d3358760dd3de7b.pdf|budget|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2024/08/BOOK-1-A4.pdf|raw\pdfs\00f9b910c1f57705e83f379a2dcb2fda.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2026/02/Job-Advert-ECZ-2026.pdf|raw\pdfs\0212f381c511d74934ea797f28bd5e42.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/2025-Approved-Community-Projects.pdf|||ERROR: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/FINANCIAL-STATEMENTS-FOR-YEAR-ENDED-31ST-DECEMBER-2022.pdf|raw\pdfs\1fbf08a0712f36c1e4b848800033749b.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2026/05/adoption-certificate-briefing.pdf|raw\pdfs\95005d29c127e5cfcfce2f1f7111363d.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=792|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/08/2025-APPROVED-COMMUNITY-PROJECTS-1.pdf|raw\pdfs\eade6c7e9bea961440405524d87e89cc.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=1747|https://www.luanshyacouncil.gov.zm/wp-content/uploads/2023/11/CDF-Bursary-Application-Form.pdf|raw\pdfs\0c9e50aacf58c5e72844332baf84f1c5.pdf|cdf|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2024/07/LMC-ECZ_2021.pdf|||ERROR: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2026/01/Institution-Public-Notice-.pdf|raw\pdfs\38c32f97c008498f1fb5550296b66bfc.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/LMC-CITIZEN-ENGAGEMENT-STRATEGY-18122025.pdf|raw\pdfs\c6d9f22838f03b74a44659d1384605fd.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2026/05/campaign-timetable.pdf|raw\pdfs\a125ad7736865f3f7452b9923c282275.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/2025-Not-Approved-Community-Projects.pdf|raw\pdfs\dd1de7acb72e95b9f211618084998f4c.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/01/Roan-2025-Grants-.pdf|raw\pdfs\3aee6539caba7c9098e83988abc7b07c.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/FINANCIAL-STATEMENTS-FOR-YEAR-ENDED-31ST-DECEMBER-2023.pdf|raw\pdfs\ee3bed78be84a113979c5ac885d1400b.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2026/02/Data-Entry-Clerks-Employment-Opportunity.pdf|raw\pdfs\6682288d89f2c918bbb04c311c978d12.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=792|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/08/Sttakeholder-Engagement-Plan.pdf|raw\pdfs\466706d44bde4d6f5c33dd377f521866.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/Notice-of-Meeting-DDCC-Dec-2024.pdf|raw\pdfs\4a2b7e2d58bca8ced54f25ca6c4d5db9.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/FINANCIAL-STATEMENTS-FOR-YEAR-ENDED-31ST-DECEMBER-2021.pdf|raw\pdfs\4fa3ffcb79ea8ed9c0da652cbcb341eb.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/07/2026-CDF-Community-Projects.pdf|raw\pdfs\69fa31c548987fcff58ca413a435684b.pdf|cdf|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/07/2026-CDF-Secondary-School-Bursary.pdf|raw\pdfs\80460333bb3e7f85f2410e17e26b9564.pdf|cdf|
